#"Step","Potential Energy (kJ/mole)","Temperature (K)"
57200,-309.0067905242733,307.32389879667875
57300,-324.4133023655692,309.2764557783046
57400,-306.36721832646583,301.8043875797695
57500,-328.0581910685044,301.10365840038367
57600,-319.4651209764174,296.119052995018
57700,-300.23775333062684,294.0871444619784
57800,-302.11295357643684,277.49172938047565
57900,-302.41535693607034,294.9031415685578
58000,-272.26453995717685,294.5842112374145
58100,-261.96777151433184,288.60014160786875
58200,-295.1510730384116,293.3854751279044
58300,-289.14973703619,292.85307227853343
58400,-296.45862532831995,292.850693870559
58500,-296.4411389477197,301.95112416236043
58600,-311.4582194114998,310.5270934257355
58700,-323.8094578322448,300.02080966188714
58800,-323.1124908945469,298.69052312398196
58900,-325.4737703087306,300.8880257990178
59000,-303.2556954102221,304.0062023951992
59100,-340.2487692195555,301.47692150862616
59200,-325.01045929851244,290.4169611790543
59300,-327.6228805240747,293.0805414931758
59400,-307.3426836435037,298.72533449417807
59500,-316.693375226973,296.1749710476947
59600,-300.95360961730404,291.0040564743054
59700,-290.959451642054,278.92900761310887
59800,-313.90204117131947,288.9302804832816
59900,-312.3309073475034,283.0275966439981
60000,-315.88458264146954,290.5678410509637
60100,-308.65813922577865,296.3400726952574
60200,-302.7636919201156,296.8653238499337
60300,-323.3464953060091,306.62114333990337
60400,-301.62584772782265,299.13145449396444
60500,-319.46218520135807,308.55992660952194
60600,-302.1484007020806,309.2476336270592
60700,-315.11359464435594,307.5841578282934
60800,-292.8513088604139,303.93688733157194
60900,-335.2080060679819,299.83323774475195
61000,-288.8895420864208,292.9142447817592
61100,-328.7601979279735,299.9655942679442
61200,-314.6364122815678,302.9343303533188
61300,-291.86197954553353,287.54262702999307
61400,-309.9555312996769,277.56985727452667
61500,-320.89073799528705,280.224653046974
61600,-319.71443220961237,292.12418520047527
61700,-316.3651093958077,286.53284070198913
61800,-306.2537511153896,285.39261833892385
61900,-307.4577452015677,292.73276867414563
62000,-317.68011514720524,297.9250125054191
62100,-320.5966389010757,297.7087326139478
62200,-309.39905291493574,288.6514858040317
62300,-318.6566526427004,299.66354848468495
62400,-295.1856587786712,296.57571977085877
62500,-326.4391988085355,294.6735341504878
62600,-288.61384738411874,288.289865152794
62700,-299.32069636192597,285.0651921942996
62800,-314.8847284523814,293.2801618162105
62900,-301.66484680924646,296.886007254771
63000,-304.9105870886391,301.9100165621607
63100,-320.6777511124519,305.8630558675197
63200,-306.9456893157573,305.59137474046645
63300,-342.5120474419198,304.9217182095986
63400,-294.1336389756081,302.7935471831162
63500,-312.6581139240412,302.8992042114412
63600,-319.24725725205957,299.5091503531962
63700,-322.6437196417464,297.82011989699663
63800,-331.804320322002,304.42185360130827
63900,-313.20088445836706,302.6268713912919
64000,-295.66514864258926,297.2712729206216
64100,-293.0141428466084,305.1133780973076
64200,-303.2699154009177,314.75908059805596
64300,-289.7610711850224,309.98277760119043
64400,-303.3896244188914,304.22516234906476
64500,-303.8269485075845,303.04163599851375
64600,-301.59364155547087,301.5026265026005
64700,-301.8971452378002,296.5859826894498
64800,-304.03138272234486,298.6939470355989
64900,-323.0113742408537,298.5143960402598
65000,-318.05003404200255,301.8766049794681
65100,-310.3302189392224,309.09889388437136
65200,-293.67533117552676,313.13877190533816
65300,-313.49438336023115,305.95510571011187
65400,-298.7717977158898,300.1851514287203
65500,-334.13151106969104,296.36728790117684
65600,-306.5721083573114,294.955136482811
65700,-319.1498278647616,304.62399170269515
65800,-329.6043700818325,308.13435990008605
65900,-305.21520526371893,298.0285620582154
66000,-334.4860024236982,295.28170559435546
66100,-342.08804334563166,305.9574444567184
66200,-331.4692874011166,301.79394805673877
66300,-318.72961547369715,292.35522349129855
66400,-309.68888801717185,284.35263034517686
66500,-327.6155903873361,283.86482869529436
66600,-343.1263986407044,281.526403527539
66700,-325.9175976311357,279.54290921818836
66800,-351.27383212457374,284.13242282033275
66900,-293.80750431525735,285.9299091365363
67000,-338.7253843638834,301.9314762813553
67100,-306.36679678236675,292.0035780238955
67200,-303.63288783053287,299.139315929866
67300,-305.85668962363917,291.5843950822712
67400,-284.25327092752775,299.71029073971715
67500,-299.93201212225324,298.32679723737755
67600,-332.148977204582,306.6143801163684
67700,-306.7024013794282,303.31910292375693
67800,-293.92823399735784,301.52852209283805
67900,-303.42398634483783,306.4688527600833
68000,-305.4458114837601,295.12799363575164
68100,-303.1117678290041,283.0024685239776
68200,-316.29785206203684,287.218358449062
68300,-297.4506789822055,279.6727158371323
68400,-316.753761153461,290.63447874295247
68500,-315.29872021671395,286.7160414710997
68600,-316.0547073931696,293.9708734343079
68700,-303.24047308017913,292.4006145325907
68800,-320.0992829167844,295.09125118025713
68900,-312.14219043499,286.78868911698333
69000,-315.3213040978013,285.4923013701183
69100,-313.20365478967454,287.85799965751073
69200,-328.2848015013287,288.3260967268802
69300,-336.42007234856453,290.88430692614406
69400,-327.32831390583743,291.29454828066866
